vassdragNr,innsjo_nr,year,Coniferous forest,Transitional woodland-shrub,Peat bogs,Water bodies,Non-irrigated arable land,"Land principally occupied by agriculture, with significant areas of natural vegetation",Discontinuous urban fabric,Mixed forest,Sea and ocean,Broad-leaved forest,Moors and heathland,Bare rocks,Sparsely vegetated areas,Glaciers and perpetual snow,Complex cultivation patterns,Sport and leisure facilities,Water courses,Natural grasslands,Continuous urban fabric,Industrial or commercial units,Road and rail networks and associated land,Port areas,Green urban areas,Mineral extraction sites,Pastures,NA,total_pop,pop_density
001.FB,3259,1989,78.58865128992196,0.3991518024198578,10.53381130315471,9.176803640090894,0,1.3015819644125797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,532,6.961783911459859
002.DGH,30459,1993,0,0,0.40335561573276274,5.036421939010611,0,0,0,0,0,1.2566200188106376,6.697186610361,28.418265255237625,57.24020174093081,0.9479488199165516,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002.DGH,30446,1993,0,0,0.4036091118388848,5.02490186108646,0,0,0,0,0,1.257409764308701,6.701395577985301,28.436125226201113,57.22801388314285,0.9485445754366906,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002.DHEB,29185,1996,22.230982472509385,0,0,1.196196290247336,0.5964232578925998,0.5228916233578956,0,1.5988228402329157,0,6.0246919228767535,11.564565268721358,29.71249947915092,24.469285427745778,1.2502828925384184,0.8333585247266462,0,0,0,0,0,0,0,0,0,0,0,46,0.3780683525025058
002.G6D6,238,1987,72.0830132838189,10.726245269819382,16.9016384519079,0.28910299445381915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2.31132468130323
002.DJCA,233,1993,0,0,0,0,0,0,0,0,0,0,1.6012747505354998,0.2943071591522561,98.10441809031224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002.MAB,32121,1998,0.49792731977363336,0,11.952676001795442,0.7333591501571013,0,0,0,1.660894552943558,0,5.358494468452134,3.9134490983180927,3.840179192226789,72.04302021633325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002.MAB,32121,2002,0.49792731977363336,0,11.952676001795442,0.7333591501571013,0,0,0,1.660894552943558,0,5.358494468452134,3.9134490983180927,3.840179192226789,72.04302021633325,0,0,0,0,0,0,0,0,0,0,0,0,0,125,1.383252226813088
002.SB,128,1993,0,0,0,0,0,2.219803521674962,0,0,0,85.7160469040046,11.444915269162625,0,0.6192343051578202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002.JAAAB,282,1988,58.01817875499557,0,39.93747082754487,2.044350417459559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2.306621090409905
